league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_next_1_years
1 Bundesliga,Bayer 04 Leverkusen,2009,4,15,14,5,65,38,27,1.74,0,0,2,20,8,6,64,44,20,2.0,0
1 Bundesliga,Bayern Munich,2009,1,20,10,4,72,31,41,2.06,0,0,3,19,8,7,81,40,41,1.91,0
1 Bundesliga,Borussia Dortmund,2009,5,16,9,9,54,42,12,1.68,0,0,1,23,6,5,67,22,45,2.21,0
1 Bundesliga,FC Schalke 04,2009,2,19,8,7,53,31,22,1.91,0,1,14,11,7,16,38,44,-6,1.18,1
1 Bundesliga,SV Werder Bremen,2009,3,17,10,7,71,40,31,1.79,0,1,13,10,11,13,47,61,-14,1.21,1
1 Bundesliga,VfB Stuttgart,2009,6,15,10,9,51,41,10,1.62,0,1,12,12,6,16,60,59,1,1.24,1
1 Bundesliga,1. FC Köln,2009,13,9,11,14,33,42,-9,1.12,1,1,10,13,5,16,47,62,-15,1.29,1
1 Bundesliga,1.FSV Mainz 05,2009,9,12,11,11,36,42,-6,1.38,1,0,5,18,4,12,52,39,13,1.71,0
1 Bundesliga,Borussia Mönchengladbach,2009,12,10,9,15,43,60,-17,1.15,1,2,16,10,6,18,48,65,-17,1.06,2
1 Bundesliga,Eintracht Frankfurt,2009,10,12,10,12,47,54,-7,1.35,1,2,17,9,7,18,31,49,-18,1.0,2
1 Bundesliga,Hamburger SV,2009,7,13,13,8,56,41,15,1.53,1,1,8,12,9,13,46,52,-6,1.32,1
1 Bundesliga,SC Freiburg,2009,14,9,8,17,35,59,-24,1.03,1,1,9,13,5,16,41,50,-9,1.29,1
1 Bundesliga,TSG 1899 Hoffenheim,2009,11,11,9,14,44,42,2,1.24,1,1,11,11,10,13,50,50,0,1.26,1
1 Bundesliga,VfL Wolfsburg,2009,8,14,8,12,64,58,6,1.47,1,2,15,9,11,14,43,48,-5,1.12,2
1 Bundesliga,1.FC Nuremberg,2009,16,8,7,19,32,58,-26,0.91,2,0,6,13,8,13,47,45,2,1.38,0
1 Bundesliga,Hannover 96,2009,15,9,6,19,43,67,-24,0.97,2,0,4,19,3,12,49,45,4,1.76,0
1 Bundesliga,Hertha BSC,2009,18,5,9,20,34,56,-22,0.71,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,VfL Bochum,2009,17,6,10,18,33,64,-31,0.82,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,1.FC Nuremberg,2010,6,13,8,13,47,45,2,1.38,0,1,10,12,6,16,38,49,-11,1.24,1
1 Bundesliga,1.FSV Mainz 05,2010,5,18,4,12,52,39,13,1.71,0,1,13,9,12,13,47,51,-4,1.15,1
1 Bundesliga,Bayer 04 Leverkusen,2010,2,20,8,6,64,44,20,2.0,0,0,5,15,9,10,52,44,8,1.59,0
1 Bundesliga,Bayern Munich,2010,3,19,8,7,81,40,41,1.91,0,0,2,23,4,7,77,22,55,2.15,0
1 Bundesliga,Borussia Dortmund,2010,1,23,6,5,67,22,45,2.21,0,0,1,25,6,3,80,25,55,2.38,0
1 Bundesliga,Hannover 96,2010,4,19,3,12,49,45,4,1.76,0,1,7,12,12,10,41,45,-4,1.41,1
1 Bundesliga,1. FC Köln,2010,10,13,5,16,47,62,-15,1.29,1,2,17,8,6,20,39,75,-36,0.88,2
1 Bundesliga,1.FC Kaiserslautern,2010,7,13,7,14,48,51,-3,1.35,1,2,18,4,11,19,24,54,-30,0.68,2
1 Bundesliga,FC Schalke 04,2010,14,11,7,16,38,44,-6,1.18,1,0,3,20,4,10,74,44,30,1.88,0
1 Bundesliga,Hamburger SV,2010,8,12,9,13,46,52,-6,1.32,1,2,15,8,12,14,35,57,-22,1.06,2
1 Bundesliga,SC Freiburg,2010,9,13,5,16,41,50,-9,1.29,1,1,12,10,10,14,45,61,-16,1.18,1
1 Bundesliga,SV Werder Bremen,2010,13,10,11,13,47,61,-14,1.21,1,1,9,11,9,14,49,58,-9,1.24,1
1 Bundesliga,TSG 1899 Hoffenheim,2010,11,11,10,13,50,50,0,1.26,1,1,11,10,11,13,41,47,-6,1.21,1
1 Bundesliga,VfB Stuttgart,2010,12,12,6,16,60,59,1,1.24,1,0,6,15,8,11,63,46,17,1.56,0
1 Bundesliga,Borussia Mönchengladbach,2010,16,10,6,18,48,65,-17,1.06,2,0,4,17,9,8,49,24,25,1.76,0
1 Bundesliga,Eintracht Frankfurt,2010,17,9,7,18,31,49,-18,1.0,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,FC St. Pauli,2010,18,8,5,21,35,68,-33,0.85,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,VfL Wolfsburg,2010,15,9,11,14,43,48,-5,1.12,2,1,8,13,5,16,47,60,-13,1.29,1
1 Bundesliga,Bayer 04 Leverkusen,2011,5,15,9,10,52,44,8,1.59,0,0,3,19,8,7,65,39,26,1.91,0
1 Bundesliga,Bayern Munich,2011,2,23,4,7,77,22,55,2.15,0,0,1,29,4,1,98,18,80,2.68,0
1 Bundesliga,Borussia Dortmund,2011,1,25,6,3,80,25,55,2.38,0,0,2,19,9,6,81,42,39,1.94,0
1 Bundesliga,Borussia Mönchengladbach,2011,4,17,9,8,49,24,25,1.76,0,1,8,12,11,11,45,49,-4,1.38,1
1 Bundesliga,FC Schalke 04,2011,3,20,4,10,74,44,30,1.88,0,0,4,16,7,11,58,50,8,1.62,0
1 Bundesliga,VfB Stuttgart,2011,6,15,8,11,63,46,17,1.56,0,1,12,12,7,15,37,55,-18,1.26,1
1 Bundesliga,1.FC Nuremberg,2011,10,12,6,16,38,49,-11,1.24,1,1,10,11,11,12,39,47,-8,1.29,1
1 Bundesliga,1.FSV Mainz 05,2011,13,9,12,13,47,51,-4,1.15,1,1,13,10,12,12,42,44,-2,1.24,1
1 Bundesliga,FC Augsburg,2011,14,8,14,12,36,49,-13,1.12,1,2,15,8,9,17,33,51,-18,0.97,2
1 Bundesliga,Hannover 96,2011,7,12,12,10,41,45,-4,1.41,1,1,9,13,6,15,60,62,-2,1.32,1
1 Bundesliga,SC Freiburg,2011,12,10,10,14,45,61,-16,1.18,1,0,5,14,9,11,45,40,5,1.5,0
1 Bundesliga,SV Werder Bremen,2011,9,11,9,14,49,58,-9,1.24,1,1,14,8,10,16,50,66,-16,1.0,1
1 Bundesliga,TSG 1899 Hoffenheim,2011,11,10,11,13,41,47,-6,1.21,1,2,16,8,7,19,42,67,-25,0.91,2
1 Bundesliga,VfL Wolfsburg,2011,8,13,5,16,47,60,-13,1.29,1,1,11,10,13,11,47,52,-5,1.26,1
1 Bundesliga,1. FC Köln,2011,17,8,6,20,39,75,-36,0.88,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,1.FC Kaiserslautern,2011,18,4,11,19,24,54,-30,0.68,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,Hamburger SV,2011,15,8,12,14,35,57,-22,1.06,2,1,7,14,6,14,42,53,-11,1.41,1
1 Bundesliga,Hertha BSC,2011,16,7,10,17,38,64,-26,0.91,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,Bayer 04 Leverkusen,2012,3,19,8,7,65,39,26,1.91,0,0,4,19,4,11,60,41,19,1.79,0
1 Bundesliga,Bayern Munich,2012,1,29,4,1,98,18,80,2.68,0,0,1,29,3,2,94,23,71,2.65,0
1 Bundesliga,Borussia Dortmund,2012,2,19,9,6,81,42,39,1.94,0,0,2,22,5,7,80,38,42,2.09,0
1 Bundesliga,Eintracht Frankfurt,2012,6,14,9,11,49,46,3,1.5,0,1,13,9,9,16,40,57,-17,1.06,1
1 Bundesliga,FC Schalke 04,2012,4,16,7,11,58,50,8,1.62,0,0,3,19,7,8,63,43,20,1.88,0
1 Bundesliga,SC Freiburg,2012,5,14,9,11,45,40,5,1.5,0,1,14,9,9,16,43,61,-18,1.06,1
1 Bundesliga,1.FC Nuremberg,2012,10,11,11,12,39,47,-8,1.29,1,2,17,5,11,18,37,70,-33,0.76,2
1 Bundesliga,1.FSV Mainz 05,2012,13,10,12,12,42,44,-2,1.24,1,1,7,16,5,13,52,54,-2,1.56,1
1 Bundesliga,Borussia Mönchengladbach,2012,8,12,11,11,45,49,-4,1.38,1,0,6,16,7,11,59,43,16,1.62,0
1 Bundesliga,Hamburger SV,2012,7,14,6,14,42,53,-11,1.41,1,2,16,7,6,21,51,75,-24,0.79,2
1 Bundesliga,Hannover 96,2012,9,13,6,15,60,62,-2,1.32,1,1,10,12,6,16,46,59,-13,1.24,1
1 Bundesliga,SV Werder Bremen,2012,14,8,10,16,50,66,-16,1.0,1,1,12,10,9,15,42,66,-24,1.15,1
1 Bundesliga,VfB Stuttgart,2012,12,12,7,15,37,55,-18,1.26,1,2,15,8,8,18,49,62,-13,0.94,2
1 Bundesliga,VfL Wolfsburg,2012,11,10,13,11,47,52,-5,1.26,1,0,5,18,6,10,63,50,13,1.76,0
1 Bundesliga,FC Augsburg,2012,15,8,9,17,33,51,-18,0.97,2,1,8,15,7,12,47,47,0,1.53,1
1 Bundesliga,Fortuna Düsseldorf,2012,17,7,9,18,39,57,-18,0.88,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,SpVgg Greuther Fürth,2012,18,4,9,21,26,60,-34,0.62,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,TSG 1899 Hoffenheim,2012,16,8,7,19,42,67,-25,0.91,2,1,9,11,11,12,72,70,2,1.29,1
1 Bundesliga,Bayer 04 Leverkusen,2013,4,19,4,11,60,41,19,1.79,0,0,4,17,10,7,62,37,25,1.79,0
1 Bundesliga,Bayern Munich,2013,1,29,3,2,94,23,71,2.65,0,0,1,25,4,5,80,18,62,2.32,0
1 Bundesliga,Borussia Dortmund,2013,2,22,5,7,80,38,42,2.09,0,1,7,13,7,14,47,42,5,1.35,1
1 Bundesliga,Borussia Mönchengladbach,2013,6,16,7,11,59,43,16,1.62,0,0,3,19,9,6,53,26,27,1.94,0
1 Bundesliga,FC Schalke 04,2013,3,19,7,8,63,43,20,1.88,0,0,6,13,9,12,42,40,2,1.41,0
1 Bundesliga,VfL Wolfsburg,2013,5,18,6,10,63,50,13,1.76,0,0,2,20,9,5,72,38,34,2.03,0
1 Bundesliga,1.FSV Mainz 05,2013,7,16,5,13,52,54,-2,1.56,1,1,11,9,13,12,45,47,-2,1.18,1
1 Bundesliga,Eintracht Frankfurt,2013,13,9,9,16,40,57,-17,1.06,1,1,9,11,10,13,56,62,-6,1.26,1
1 Bundesliga,FC Augsburg,2013,8,15,7,12,47,47,0,1.53,1,0,5,15,4,15,43,43,0,1.44,0
1 Bundesliga,Hannover 96,2013,10,12,6,16,46,59,-13,1.24,1,1,13,9,10,15,40,56,-16,1.09,1
1 Bundesliga,Hertha BSC,2013,11,11,8,15,40,48,-8,1.21,1,2,15,9,8,17,36,52,-16,1.03,2
1 Bundesliga,SC Freiburg,2013,14,9,9,16,43,61,-18,1.06,1,2,17,7,13,14,36,47,-11,1.0,2
1 Bundesliga,SV Werder Bremen,2013,12,10,9,15,42,66,-24,1.15,1,1,10,11,10,13,50,65,-15,1.26,1
1 Bundesliga,TSG 1899 Hoffenheim,2013,9,11,11,12,72,70,2,1.29,1,1,8,12,8,14,49,55,-6,1.29,1
1 Bundesliga,1.FC Nuremberg,2013,17,5,11,18,37,70,-33,0.76,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,Eintracht Braunschweig,2013,18,6,7,21,29,60,-31,0.74,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,Hamburger SV,2013,16,7,6,21,51,75,-24,0.79,2,2,16,9,8,17,25,50,-25,1.03,2
1 Bundesliga,VfB Stuttgart,2013,15,8,8,18,49,62,-13,0.94,2,1,14,9,9,16,42,60,-18,1.06,1
1 Bundesliga,Bayer 04 Leverkusen,2014,4,17,10,7,62,37,25,1.79,0,0,3,18,6,10,56,40,16,1.76,0
1 Bundesliga,Bayern Munich,2014,1,25,4,5,80,18,62,2.32,0,0,1,28,4,2,80,17,63,2.59,0
1 Bundesliga,Borussia Mönchengladbach,2014,3,19,9,6,53,26,27,1.94,0,0,4,17,4,13,67,50,17,1.62,0
1 Bundesliga,FC Augsburg,2014,5,15,4,15,43,43,0,1.44,0,1,12,9,11,14,42,52,-10,1.12,1
1 Bundesliga,FC Schalke 04,2014,6,13,9,12,42,40,2,1.41,0,0,5,15,7,12,51,49,2,1.53,0
1 Bundesliga,VfL Wolfsburg,2014,2,20,9,5,72,38,34,2.03,0,1,8,12,9,13,47,49,-2,1.32,1
1 Bundesliga,1. FC Köln,2014,12,9,13,12,34,40,-6,1.18,1,1,9,10,13,11,38,42,-4,1.26,1
1 Bundesliga,1.FSV Mainz 05,2014,11,9,13,12,45,47,-2,1.18,1,0,6,14,8,12,46,42,4,1.47,0
1 Bundesliga,Borussia Dortmund,2014,7,13,7,14,47,42,5,1.35,1,0,2,24,6,4,82,34,48,2.29,0
1 Bundesliga,Eintracht Frankfurt,2014,9,11,10,13,56,62,-6,1.26,1,2,16,9,9,16,34,52,-18,1.06,2
1 Bundesliga,Hannover 96,2014,13,9,10,15,40,56,-16,1.09,1,2,18,7,4,23,31,62,-31,0.74,2
1 Bundesliga,SV Werder Bremen,2014,10,11,10,13,50,65,-15,1.26,1,1,13,10,8,16,50,65,-15,1.12,1
1 Bundesliga,TSG 1899 Hoffenheim,2014,8,12,8,14,49,55,-6,1.29,1,2,15,9,10,15,39,54,-15,1.09,2
1 Bundesliga,VfB Stuttgart,2014,14,9,9,16,42,60,-18,1.06,1,2,17,9,6,19,50,75,-25,0.97,2
1 Bundesliga,Hamburger SV,2014,16,9,8,17,25,50,-25,1.03,2,1,10,11,8,15,40,46,-6,1.21,1
1 Bundesliga,Hertha BSC,2014,15,9,8,17,36,52,-16,1.03,2,1,7,14,8,12,42,42,0,1.47,1
1 Bundesliga,SC Freiburg,2014,17,7,13,14,36,47,-11,1.0,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,SC Paderborn 07,2014,18,7,10,17,31,65,-34,0.91,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,1.FSV Mainz 05,2015,6,14,8,12,46,42,4,1.47,0,2,15,10,7,17,44,55,-11,1.09,2
1 Bundesliga,Bayer 04 Leverkusen,2015,3,18,6,10,56,40,16,1.76,0,1,12,11,8,15,53,55,-2,1.21,1
1 Bundesliga,Bayern Munich,2015,1,28,4,2,80,17,63,2.59,0,0,1,25,7,2,89,22,67,2.41,0
1 Bundesliga,Borussia Dortmund,2015,2,24,6,4,82,34,48,2.29,0,0,3,18,10,6,72,40,32,1.88,0
1 Bundesliga,Borussia Mönchengladbach,2015,4,17,4,13,67,50,17,1.62,0,1,9,12,9,13,45,49,-4,1.32,1
1 Bundesliga,FC Schalke 04,2015,5,15,7,12,51,49,2,1.53,0,1,10,11,10,13,45,40,5,1.26,1
1 Bundesliga,1. FC Köln,2015,9,10,13,11,38,42,-4,1.26,1,0,5,12,13,9,51,42,9,1.44,0
1 Bundesliga,FC Augsburg,2015,12,9,11,14,42,52,-10,1.12,1,1,13,9,11,14,35,51,-16,1.12,1
1 Bundesliga,FC Ingolstadt 04,2015,11,10,10,14,33,42,-9,1.18,1,2,17,8,8,18,36,57,-21,0.94,2
1 Bundesliga,Hamburger SV,2015,10,11,8,15,40,46,-6,1.21,1,1,14,10,8,16,33,61,-28,1.12,1
1 Bundesliga,Hertha BSC,2015,7,14,8,12,42,42,0,1.47,1,0,6,15,4,15,43,47,-4,1.44,0
1 Bundesliga,SV Darmstadt 98,2015,14,9,11,14,38,53,-15,1.12,1,2,18,7,4,23,28,63,-35,0.74,2
1 Bundesliga,SV Werder Bremen,2015,13,10,8,16,50,65,-15,1.12,1,1,8,13,6,15,61,64,-3,1.32,1
1 Bundesliga,VfL Wolfsburg,2015,8,12,9,13,47,49,-2,1.32,1,2,16,10,7,17,34,52,-18,1.09,2
1 Bundesliga,Eintracht Frankfurt,2015,16,9,9,16,34,52,-18,1.06,2,1,11,11,9,14,36,43,-7,1.24,1
1 Bundesliga,Hannover 96,2015,18,7,4,23,31,62,-31,0.74,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,TSG 1899 Hoffenheim,2015,15,9,10,15,39,54,-15,1.09,2,0,4,16,14,4,64,37,27,1.82,0
1 Bundesliga,VfB Stuttgart,2015,17,9,6,19,50,75,-25,0.97,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,1. FC Köln,2016,5,12,13,9,51,42,9,1.44,0,2,18,5,7,22,35,70,-35,0.65,2
1 Bundesliga,Bayern Munich,2016,1,25,7,2,89,22,67,2.41,0,0,1,27,3,4,92,28,64,2.47,0
1 Bundesliga,Borussia Dortmund,2016,3,18,10,6,72,40,32,1.88,0,0,4,15,10,9,64,47,17,1.62,0
1 Bundesliga,Hertha BSC,2016,6,15,4,15,43,47,-4,1.44,0,1,10,10,13,11,43,46,-3,1.26,1
1 Bundesliga,RB Leipzig,2016,2,20,7,7,66,39,27,1.97,0,0,6,15,8,11,57,53,4,1.56,0
1 Bundesliga,TSG 1899 Hoffenheim,2016,4,16,14,4,64,37,27,1.82,0,0,3,15,10,9,66,48,18,1.62,0
1 Bundesliga,Bayer 04 Leverkusen,2016,12,11,8,15,53,55,-2,1.21,1,0,5,15,10,9,58,44,14,1.62,0
1 Bundesliga,Borussia Mönchengladbach,2016,9,12,9,13,45,49,-4,1.32,1,1,9,13,8,13,47,52,-5,1.38,1
1 Bundesliga,Eintracht Frankfurt,2016,11,11,9,14,36,43,-7,1.24,1,1,8,14,7,13,45,45,0,1.44,1
1 Bundesliga,FC Augsburg,2016,13,9,11,14,35,51,-16,1.12,1,1,12,10,11,13,43,46,-3,1.21,1
1 Bundesliga,FC Schalke 04,2016,10,11,10,13,45,40,5,1.26,1,0,2,18,9,7,53,37,16,1.85,0
1 Bundesliga,Hamburger SV,2016,14,10,8,16,33,61,-28,1.12,1,2,17,8,7,19,29,53,-24,0.91,2
1 Bundesliga,SC Freiburg,2016,7,14,6,14,42,60,-18,1.41,1,2,15,8,12,14,32,56,-24,1.06,2
1 Bundesliga,SV Werder Bremen,2016,8,13,6,15,61,64,-3,1.32,1,1,11,10,12,12,37,40,-3,1.24,1
1 Bundesliga,1.FSV Mainz 05,2016,15,10,7,17,44,55,-11,1.09,2,1,14,9,9,16,38,52,-14,1.06,1
1 Bundesliga,FC Ingolstadt 04,2016,17,8,8,18,36,57,-21,0.94,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,SV Darmstadt 98,2016,18,7,4,23,28,63,-35,0.74,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,VfL Wolfsburg,2016,16,10,7,17,34,52,-18,1.09,2,2,16,6,15,13,36,48,-12,0.97,2
1 Bundesliga,Bayer 04 Leverkusen,2017,5,15,10,9,58,44,14,1.62,0,0,4,18,4,12,69,52,17,1.71,0
1 Bundesliga,Bayern Munich,2017,1,27,3,4,92,28,64,2.47,0,0,1,24,6,4,88,32,56,2.29,0
1 Bundesliga,Borussia Dortmund,2017,4,15,10,9,64,47,17,1.62,0,0,2,23,7,4,81,44,37,2.24,0
1 Bundesliga,FC Schalke 04,2017,2,18,9,7,53,37,16,1.85,0,1,14,8,9,17,37,55,-18,0.97,1
1 Bundesliga,RB Leipzig,2017,6,15,8,11,57,53,4,1.56,0,0,3,19,9,6,63,29,34,1.94,0
1 Bundesliga,TSG 1899 Hoffenheim,2017,3,15,10,9,66,48,18,1.62,0,1,9,13,12,9,70,52,18,1.5,1
1 Bundesliga,1.FSV Mainz 05,2017,14,9,9,16,38,52,-14,1.06,1,1,12,12,7,15,46,57,-11,1.26,1
1 Bundesliga,Borussia Mönchengladbach,2017,9,13,8,13,47,52,-5,1.38,1,0,5,16,7,11,55,42,13,1.62,0
1 Bundesliga,Eintracht Frankfurt,2017,8,14,7,13,45,45,0,1.44,1,1,7,15,9,10,60,48,12,1.59,1
1 Bundesliga,FC Augsburg,2017,12,10,11,13,43,46,-3,1.21,1,2,15,8,8,18,51,71,-20,0.94,2
1 Bundesliga,Hannover 96,2017,13,10,9,15,44,54,-10,1.15,1,2,17,5,6,23,31,71,-40,0.62,2
1 Bundesliga,Hertha BSC,2017,10,10,13,11,43,46,-3,1.26,1,1,11,11,10,13,49,57,-8,1.26,1
1 Bundesliga,SV Werder Bremen,2017,11,10,12,12,37,40,-3,1.24,1,1,8,14,11,9,58,49,9,1.56,1
1 Bundesliga,VfB Stuttgart,2017,7,15,6,13,36,36,0,1.5,1,2,16,7,7,20,32,70,-38,0.82,2
1 Bundesliga,1. FC Köln,2017,18,5,7,22,35,70,-35,0.65,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,Hamburger SV,2017,17,8,7,19,29,53,-24,0.91,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,SC Freiburg,2017,15,8,12,14,32,56,-24,1.06,2,1,13,8,12,14,46,61,-15,1.06,1
1 Bundesliga,VfL Wolfsburg,2017,16,6,15,13,36,48,-12,0.97,2,0,6,16,7,11,62,50,12,1.62,0
1 Bundesliga,Bayer 04 Leverkusen,2018,4,18,4,12,69,52,17,1.71,0,0,5,19,6,9,61,44,17,1.85,0
1 Bundesliga,Bayern Munich,2018,1,24,6,4,88,32,56,2.29,0,0,1,26,4,4,100,32,68,2.41,0
1 Bundesliga,Borussia Dortmund,2018,2,23,7,4,81,44,37,2.24,0,0,2,21,6,7,84,41,43,2.03,0
1 Bundesliga,Borussia Mönchengladbach,2018,5,16,7,11,55,42,13,1.62,0,0,4,20,5,9,66,40,26,1.91,0
1 Bundesliga,RB Leipzig,2018,3,19,9,6,63,29,34,1.94,0,0,3,18,12,4,81,37,44,1.94,0
1 Bundesliga,VfL Wolfsburg,2018,6,16,7,11,62,50,12,1.62,0,1,7,13,10,11,48,46,2,1.44,1
1 Bundesliga,1.FSV Mainz 05,2018,12,12,7,15,46,57,-11,1.26,1,1,13,11,4,19,44,65,-21,1.09,1
1 Bundesliga,Eintracht Frankfurt,2018,7,15,9,10,60,48,12,1.59,1,1,9,13,6,15,59,60,-1,1.32,1
1 Bundesliga,FC Schalke 04,2018,14,8,9,17,37,55,-18,0.97,1,1,12,9,12,13,38,58,-20,1.15,1
1 Bundesliga,Fortuna Düsseldorf,2018,10,13,5,16,49,65,-16,1.29,1,2,17,6,12,16,36,67,-31,0.88,2
1 Bundesliga,Hertha BSC,2018,11,11,10,13,49,57,-8,1.26,1,1,10,11,8,15,48,59,-11,1.21,1
1 Bundesliga,SC Freiburg,2018,13,8,12,14,46,61,-15,1.06,1,1,8,13,9,12,48,47,1,1.41,1
1 Bundesliga,SV Werder Bremen,2018,8,14,11,9,58,49,9,1.56,1,2,16,8,7,19,42,69,-27,0.91,2
1 Bundesliga,TSG 1899 Hoffenheim,2018,9,13,12,9,70,52,18,1.5,1,0,6,15,7,12,53,53,0,1.53,0
1 Bundesliga,1.FC Nuremberg,2018,18,3,10,21,26,68,-42,0.56,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,FC Augsburg,2018,15,8,8,18,51,71,-20,0.94,2,2,15,9,9,16,45,63,-18,1.06,2
1 Bundesliga,Hannover 96,2018,17,5,6,23,31,71,-40,0.62,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,VfB Stuttgart,2018,16,7,7,20,32,70,-38,0.82,2,2,0,0,0,0,0,0,0,0.0,2
